paper_id,cite_id
2389674,2798820
2390142,2757420
2063784,2717269
2063784,2452421
221600,1869842
221600,966383
221600,2466899
221600,1323089
221600,1640791
221600,266913
221600,2178930
221600,1875547
266913,2845128
266913,2643769
266913,1358568
266913,1296683
266913,2137590
266913,2093994
266913,2533938
266913,1323089
266913,1640791
266913,2178930
956890,1609156
956890,2143677
956890,2898822
956890,2379777
956890,1533770
956890,1699738
956890,1362784
956890,1220278
956890,1699734
956890,1620943
956890,1133037
956890,2111676
956890,1922654
956890,1009022
956890,1645978
956890,1432469
956890,1273098
956890,1944657
956890,1220846
956890,974742
956890,1277876
956890,1398038
956890,1390762
956890,1838753
956890,1699736
956890,1626358
956890,974746
956890,2390951
956890,1858729
956890,1687899
956890,1220632
956890,1944713
956890,1610113
956890,2688162
956890,2771251
956890,1654586
956890,1527595
956890,1460033
956890,2789210
956890,1371086
956890,1220318
956890,1530258
2398467,2488425
2398467,2846643
2398467,2811766
2063801,2430466
2063801,2661884
2063801,2732248
2063801,2590995
2063801,2811766
2661884,2794377
2661884,2856328
2661884,2824086
2661884,2811766
1458560,2254139
1458560,1656284
1458316,1646109
1458316,2397804
1458316,1982538
1458316,2771086
1458316,2543176
1458316,1693688
1458316,2869492
2065012,2064049
2065012,2783708
956948,1367579
502638,1378908
502638,1597402
502638,1169081
502638,1756255
502638,1080206
502638,1244298
502638,1048835
502638,1897167
502638,2338868
502638,2629530
502638,2727921
502638,2835373
502638,2801848
502638,2822766
502638,2772951
502638,2608295
502638,2141782
502638,2175050
502638,775242
502638,970709
502638,1059425
502638,1592452
502638,1515904
502638,1645491
502638,2123388
502638,1044558
502638,1080194
502638,2179186
502638,1139714
502638,1232122
502638,1253502
502638,1141723
502638,1883666
502638,1322983
502638,1274391
502638,2123390
502638,1743317
502638,1341733
502638,2162204
502638,1597415
502638,1612767
502638,1011247
502638,2113958
502638,1060808
502638,1281180
502638,1527282
502638,1421562
502638,1841914
502638,2019593
502638,1759027
502638,1263221
502638,1117500
502638,1810867
502638,1251289
502638,1865017
502638,1359248
502638,1502548
502638,1960865
502638,2113944
502638,2166144
502638,945459
502638,2727032
502638,2854495
502638,1737712
502638,1648677
502638,2437771
502638,1364175
502638,2172492
502638,2135732
502638,1526789
502638,1625513
502638,1190328
502638,2098947
502638,2152045
502638,1671965
502638,1021932
502638,1891433
502638,2626017
502638,945729
502638,1274394
502638,2081607
502638,2095027
502638,2125471
502638,1021939
502638,1694302
502638,1134295
502638,1285905
502638,1767679
502638,2141001
502638,1409664
502638,1058009
502638,1793923
502638,1759013
502638,860588
502638,2172974
502638,1759016
502638,1810854
502638,586138
502638,2165207
502638,1365570
502638,990062
502638,2007578
502638,2493957
502638,2889526
502638,2179590
502638,1648679
502638,1785000
502638,1480494
502638,1781423
502638,1343368
502638,1417275
502638,1777751
502638,2171911
502638,2154474
502638,939764
502638,544809
502638,1139716
502638,2608235
502638,2149753
502638,1749648
502638,851977
502638,1225716
502638,1879511
502638,1707130
502638,2786564
502638,1092447
502638,1619027
502638,2138622
502638,2673628
502638,1758804
502638,1108466
502638,998602
502638,2111353
502638,1251686
502638,1228025
502638,2148861
502638,1021935
502638,1274390
502638,1645958
502638,1648678
502638,1541636
502638,1139715
502638,2726821
502638,2428699
502638,1139718
502638,1891441
502638,1021940
502638,1648682
502638,2098866
502638,1322499
502638,1895203
502638,1316295
502638,1658955
502638,1688085
502638,2095014
502638,1317021
502638,1759024
502638,1785901
502638,1617390
502638,1788791
502638,1844018
502638,2154172
502638,977906
502638,1781382
502638,613671
502638,776346
502638,2098172
502638,998601
502638,1526829
502638,1379359
502638,1373449
502638,2556916
502638,1421596
502638,2530770
502638,2105015
502638,2112520
502638,2137642
502638,1049868
502638,2184511
502638,2172488
502638,2167834
502638,2153180
502638,2098181
502638,1648680
502638,1424705
502638,1021942
502638,1359370
502638,1139717
502638,2889528
502638,1759026
502638,1926146
502638,1737716
502638,2726826
502638,1645070
502638,2098847
502638,2372106
502638,1845219
502638,1791930
502638,1759009
502638,1621916
502638,1887913
502638,1478137
502638,613671
502638,2284804
502638,1705345
502638,2149757
