paper_id,refer_id
2508197,958947
2508197,2526154
2508197,1062763
2508197,2132806
2508197,2188058
2390142,2185356
2390142,1772751
2390142,1629907
2390142,1964869
2390142,794502
2390142,1753486
2390142,2118203
2390142,1935882
2063784,1559911
2063784,52121
2063784,1367578
2063784,1622832
2063784,218921
2063784,266920
2063784,145259
2063784,1453927
2063784,1083734
2063784,362692
2063784,1316712
2063784,1290384
2063784,1242667
2063784,304207
2063784,1315455
2665997,1353424
2665997,2453745
2665997,956769
2665997,1183678
2665997,1205860
238369,620267
238369,617476
238369,908431
221600,756314
221600,123585
266913,221600
266913,853630
266913,93176
266913,527801
266913,718911
266913,656243
956890,1118642
956890,176867
956890,290958
956890,979634
956890,1075274
956890,290957
956890,1621760
2398467,2064998
2398467,672836
2398467,1640848
2398467,1796377
2398467,1995335
2398467,1853321
2398467,2140753
2398467,630627
2398467,1945908
2398467,2008904
2398467,1367583
2063801,672836
2063801,1216159
2063801,1041658
2063801,1164187
2661884,2063801
2661884,672836
2661884,2536262
2661884,2511233
2661884,1978514
2661884,1989373
2661884,1216159
2661884,1921060
2661884,1007641
2661884,650138
2661884,144809
2661884,2590995
2661884,656418
2661884,1164187
2661884,679455
2661884,844800
1458560,1785228
1458560,1242640
1458560,1379109
1458560,1318430
1458560,2127134
1458560,1242602
1458560,858989
1458560,324140
1458560,1148188
1458560,1367589
1458560,1149949
1458560,2079884
1458560,1277762
1458560,1367542
1458560,1149962
1458560,1135839
1458316,1785228
1458316,1242640
2065012,1244593
2065012,186897
2065012,96782
2065012,219701
956948,857706
956948,614510
956948,1556308
956948,98741
956948,361007
956948,672197
956948,671016
956948,346290
956948,653303
956948,602266
956948,316229
956948,170403
956948,276327
956948,503100
956948,230826
956948,582321
956948,318900
956948,51850
502638,820322
502638,621625
502638,383072
502638,383071
502638,735555
956930,672034
956930,233327
956930,656401
956930,564713
956930,304209
956930,1287408
956930,757704
956930,564733
956930,1287410
956930,672025
956930,671494
1651268,1687767
1651268,1557767
1651268,1855744
2398577,304184
2398577,1328920
2398577,1559929
2398577,671016
2398577,671191
2398577,170403
2398577,653437
2398577,588037
2398577,153878
2398577,673638
2398577,318900
2398577,237705
2398577,1916683
1646203,297827
1646203,291025
1646203,1321575
1646203,324140
1646203,1277800
1646203,1220692
1646203,1220884
1646203,2117833
1646203,1390417
1646203,1220690
1646203,1281260
1646203,1498820
1646203,2392478
1871919,586117
1871919,830566
1871919,986869
1871919,1137076
170411,671486
170411,672309
170411,3927
170411,320099
170411,115797
170411,913071
170411,17360
170411,65857
170411,130295
170411,27702
170411,627434
170411,892379
170411,71038
170411,627529
170411,125283
170411,71036
1458357,1316740
1183731,1142531
1183731,956882
1183731,1099697
584905,673160
584905,1017236
956920,312279
956920,657884
956920,553876
956920,673659
956920,657130
956920,608121
956920,345593
956920,658273
956920,188106
956920,261082
956920,656022
956920,594002
956920,295806
956920,655646
956920,594036
956920,671360
956920,188496
323231,892109
323231,28451
323231,133214
323231,129687
323231,1625975
323231,262770
323231,175243
352322,253287
352322,649887
352322,381882
1099565,880590
1099565,863975
1099565,2313860
1099565,851858
1099565,501470
1099565,1017081
1099565,1045677
1099565,687945
1099565,1251469
1099565,1315480
1099565,383072
1099565,747491
1099565,697650
1099565,2158060
1099565,383071
1099565,966627
1099565,977996
1099565,1076090
1099565,977980
1099565,894116
1099565,378347
2396850,1557029
2396850,2020439
2396850,2009945
2396850,1242610
2396850,1442794
2396850,988738
2396850,599361
2396850,1401944
2396850,1772758
2396850,2009937
2396850,642471
2396850,2010002
2396850,1390267
2396850,372071
2396850,1401969
2396850,2009959
2396850,642681
2396850,384019
2396850,1835511
2396850,1277752
2505635,271078
2505635,1785216
2505635,1376746
2505635,1805911
2505635,543644
2505635,1225459
2505635,1835524
2505635,985745
2505635,1835548
1646260,1281198
1646260,1162264
1646260,1458216
1646260,1277837
1646260,971525
1646260,188560
1646260,1403886
1646260,1076119
1646283,775192
1646283,1242588
1646283,830043
1646283,1401917
1646283,952397
1646283,262228
1646283,1148222
1646283,1242592
1646283,637969
2396867,384007
2396867,1871498
2396867,1102363
2396867,1273513
2396867,372165
2396867,964285
2396867,2481756
2396867,1656278
2396867,582418
2396867,775067
2396867,1148246
2396867,1265494
2396867,1009006
2396867,345574
2396867,2000520
2396867,1072347
2396867,1277808
2396867,1969508
2396867,1277809
2396867,1277790
1458574,309508
1458574,1072067
1458574,2145187
1458574,1030327
1458574,539927
288644,718932
288644,653616
288644,170072
288644,672836
288644,655281
288644,602266
288644,673134
288644,655261
288644,191314
288644,653287
288644,672827
288644,223813
288644,673300
288644,673304
288644,233311
288644,673325
266904,215278
266904,233034
266904,232762
266904,283270
266904,50213
266904,859844
266904,166260
266904,195680
266904,672996
266904,195678
266904,232714
266904,170081
266904,219094
266904,283267
266904,248182
266904,283259
1031197,937995
1031197,937991
1099678,336644
1099678,1118726
1099678,1118857
1099678,1119197
1099678,980882
1099678,1119199
1099678,1073165
1099678,564429
1099678,1118860
1099678,988687
1099678,1118863
1099678,1119201
1099678,1072393
1099678,1119204
1099678,311445
1099678,342550
1099678,291008
1099678,1073092
1099678,315364
1099678,1118877
1099678,1119195
1099678,1118888
1099678,333138
1099678,1119210
2064036,1935845
2064036,1781932
2064036,1964873
2064036,1963499
2064036,2021022
2064036,1458149
2064036,956769
2064036,1557077
2064036,1653781
2063843,1963362
2063843,1926204
2063843,944965
2063843,1795979
2063843,383316
2063843,1563695
2063843,1348248
2063843,1858124
2063843,2369233
2063843,1390400
2063843,1044938
2063843,1835499
2063843,1869094
2063843,1885836
2063843,1026732
2063843,1214993
2063843,1572038
2063843,2323333
2063843,516736
2063843,1321475
2063843,1553314
2063843,1869912
2063843,985733
2063843,1871572
2063843,1498806
2063843,1619900
2505604,2339682
2505604,168790
2505604,297850
2505604,1040895
2505604,234832
2505604,1422847
2505604,1214993
2505604,211390
2505604,858516
2505604,317440
2505604,1979375
2661995,2063843
2661995,2208644
2661995,1277747
2661995,1835536
2661995,359208
2661995,1526736
2661995,1390358
2661995,1963487
2661995,2433434
2661995,2189133
2661995,1625535
2661995,1526761
2661995,2484055
2661995,380507
2661995,2063661
2661995,1214993
2661995,1394399
2661995,1619040
2661995,1784827
2661995,1646002
2661995,1989362
2661995,1232399
2661995,1597414
2661995,1367545
2661995,1458274
2661995,1835525
2661995,1871572
2661995,1066244
2661995,1498806
2661995,1687631
2661995,657719
2661995,2396812
1458462,1791500
1458462,662877
1458462,660820
2063681,2020466
2063681,561899
2063681,586352
2063681,956767
2063681,1941904
2063681,1768209
2063681,372071
1458169,362692
1458169,253373
1458169,1287454
1458169,672821
1458169,602261
1458169,671004
1458169,671160
1458169,636534
1458169,115813
1458169,288647
1458169,170051
1458169,183025
1458169,1164220
1458169,672136
1646011,371955
1646011,1460015
1646011,1367803
1646011,1009040
1646011,1062768
1646011,1242632
1646011,700069
1646011,297827
1646011,346290
1646011,511466
1646011,671523
1646011,313121
1646011,297835
1646011,345597
1646011,671854
1646011,1135822
1646011,297855
1646011,1048752
1646011,2151870
1646011,1124877
1646011,372056
1646011,1031117
1646011,1768206
1646011,829233
1646011,371965
1646011,882094
1646011,1095875
1646011,1277762
1646011,657633
1646011,1277772
1646011,1057324
1646011,1099583
2663542,1367758
2663542,1899662
2663542,2663713
2663542,2664424
2663542,2664428
2663542,2664426
2663542,2664423
2663542,2664427
2663542,1367800
1183773,1009000
1183773,753539
1458109,44209
1458109,88898
1458109,132276
1458109,1547160
1458109,1376736
1458109,1037092
1458109,88900
1458109,988710
1458109,672321
1458109,52792
1458109,3860
1458109,1251530
1458109,978097
1458109,1054079
1458109,1353420
1458109,672495
1458109,1121843
1458109,627678
1458109,335419
1458109,7336
1458109,17634
1458109,1125276
1458109,1129920
1458109,1273002
1458109,1251464
1458109,1205860
1458109,1516142
1458109,1270749
2398508,2124312
2398508,2020433
2398508,2187982
2398508,1658364
2398508,2271950
2398508,1553434
2398508,258660
2398508,2063837
2398508,1920931
1099614,972458
2063775,860453
2063775,1417168
2063775,1281204
2063775,1646298
2063775,347176
2063775,1229183
2063775,1458163
2063775,1835536
2063775,1777151
2063775,1401995
2063775,1031193
2063775,1772724
2063775,258597
2063775,1183683
2063775,1361854
2063775,312649
2063775,1458176
2063775,1458176
2063775,1367591
2063775,259582
2063775,1081899
2063775,215381
2063775,576628
2063775,1602058
2063775,1944700
2063775,1671887
2063775,503108
